"","Group","transcript","Start","Stop","Strand","ENSGACG","ENSGACT","OnLG","LG.roman","LG"
"1","groupIV","transcript",3396,9380,"-","ENSGACG00000016217","ENSGACT00000021436",TRUE,"IV",4
"2","groupIV","transcript",11544,17920,"-","ENSGACG00000016220","ENSGACT00000021442",TRUE,"IV",4
"3","groupIV","transcript",18831,25938,"+","ENSGACG00000016224","ENSGACT00000021449",TRUE,"IV",4
"4","groupIV","transcript",18915,25706,"+","ENSGACG00000016224","ENSGACT00000021452",TRUE,"IV",4
"5","groupIV","transcript",26590,32106,"+","ENSGACG00000016231","ENSGACT00000021457",TRUE,"IV",4
"6","groupIV","transcript",36406,48625,"-","ENSGACG00000016234","ENSGACT00000021497",TRUE,"IV",4
"7","groupIV","transcript",36857,48054,"-","ENSGACG00000016234","ENSGACT00000021502",TRUE,"IV",4
"8","groupIV","transcript",52404,57303,"+","ENSGACG00000016271","ENSGACT00000021509",TRUE,"IV",4
"9","groupIV","transcript",54018,57292,"+","ENSGACG00000016271","ENSGACT00000021511",TRUE,"IV",4
"10","groupIV","transcript",62360,78815,"-","ENSGACG00000016277","ENSGACT00000021515",TRUE,"IV",4
"11","groupIV","transcript",80651,91842,"-","ENSGACG00000016279","ENSGACT00000021519",TRUE,"IV",4
"12","groupIV","transcript",81281,91864,"-","ENSGACG00000016279","ENSGACT00000021522",TRUE,"IV",4
"13","groupIV","transcript",94613,97364,"+","ENSGACG00000016282","ENSGACT00000021523",TRUE,"IV",4
"14","groupIV","transcript",97772,111852,"-","ENSGACG00000016283","ENSGACT00000021539",TRUE,"IV",4
"15","groupIV","transcript",98035,112305,"-","ENSGACG00000016283","ENSGACT00000021545",TRUE,"IV",4
"16","groupIV","transcript",120777,130481,"-","ENSGACG00000016300","ENSGACT00000021549",TRUE,"IV",4
"17","groupIV","transcript",139631,165233,"+","ENSGACG00000016304","ENSGACT00000021564",TRUE,"IV",4
"18","groupIV","transcript",166206,169934,"-","ENSGACG00000016311","ENSGACT00000021573",TRUE,"IV",4
"19","groupIV","transcript",170359,174548,"+","ENSGACG00000016318","ENSGACT00000021575",TRUE,"IV",4
"20","groupIV","transcript",175596,179851,"-","ENSGACG00000016320","ENSGACT00000021578",TRUE,"IV",4
"21","groupIV","transcript",182052,191246,"+","ENSGACG00000016321","ENSGACT00000021581",TRUE,"IV",4
"22","groupIV","transcript",182427,192451,"+","ENSGACG00000016321","ENSGACT00000021586",TRUE,"IV",4
"23","groupIV","transcript",182452,192451,"+","ENSGACG00000016321","ENSGACT00000021587",TRUE,"IV",4
"24","groupIV","transcript",193463,202302,"-","ENSGACG00000016326","ENSGACT00000021591",TRUE,"IV",4
"25","groupIV","transcript",204213,205371,"+","ENSGACG00000016329","ENSGACT00000021596",TRUE,"IV",4
"26","groupIV","transcript",205235,208700,"-","ENSGACG00000016332","ENSGACT00000021600",TRUE,"IV",4
"27","groupIV","transcript",205501,208806,"-","ENSGACG00000016332","ENSGACT00000021603",TRUE,"IV",4
"28","groupIV","transcript",211345,225311,"-","ENSGACG00000016337","ENSGACT00000021608",TRUE,"IV",4
"29","groupIV","transcript",211345,212117,"+","ENSGACG00000016340","ENSGACT00000021610",TRUE,"IV",4
"30","groupIV","transcript",229120,240408,"+","ENSGACG00000016341","ENSGACT00000021614",TRUE,"IV",4
"31","groupIV","transcript",245268,261072,"+","ENSGACG00000016344","ENSGACT00000021621",TRUE,"IV",4
"32","groupIV","transcript",296280,299497,"-","ENSGACG00000016352","ENSGACT00000021623",TRUE,"IV",4
"33","groupIV","transcript",306409,310477,"-","ENSGACG00000016353","ENSGACT00000021626",TRUE,"IV",4
"34","groupIV","transcript",327742,329737,"+","ENSGACG00000016356","ENSGACT00000021629",TRUE,"IV",4
"35","groupIV","transcript",332142,339406,"+","ENSGACG00000016358","ENSGACT00000021632",TRUE,"IV",4
"36","groupIV","transcript",472586,477561,"+","ENSGACG00000016360","ENSGACT00000021634",TRUE,"IV",4
"37","groupIV","transcript",808913,810068,"-","ENSGACG00000016362","ENSGACT00000021636",TRUE,"IV",4
"38","groupIV","transcript",809341,810775,"-","ENSGACG00000016362","ENSGACT00000021638",TRUE,"IV",4
"39","groupIV","transcript",812078,814424,"+","ENSGACG00000016363","ENSGACT00000021641",TRUE,"IV",4
"40","groupIV","transcript",817389,821632,"+","ENSGACG00000016366","ENSGACT00000021649",TRUE,"IV",4
"41","groupIV","transcript",860499,867351,"-","ENSGACG00000016370","ENSGACT00000021651",TRUE,"IV",4
"42","groupIV","transcript",929186,948924,"-","ENSGACG00000016372","ENSGACT00000021659",TRUE,"IV",4
"43","groupIV","transcript",929503,949027,"-","ENSGACG00000016372","ENSGACT00000021660",TRUE,"IV",4
"44","groupIV","transcript",955324,956559,"-","ENSGACG00000016378","ENSGACT00000021662",TRUE,"IV",4
"45","groupIV","transcript",963238,966222,"-","ENSGACG00000016380","ENSGACT00000021664",TRUE,"IV",4
"46","groupIV","transcript",975199,979549,"-","ENSGACG00000016381","ENSGACT00000021669",TRUE,"IV",4
"47","groupIV","transcript",975199,979501,"-","ENSGACG00000016381","ENSGACT00000021672",TRUE,"IV",4
"48","groupIV","transcript",981255,982988,"-","ENSGACG00000016387","ENSGACT00000021674",TRUE,"IV",4
"49","groupIV","transcript",983296,986835,"+","ENSGACG00000016388","ENSGACT00000021688",TRUE,"IV",4
"50","groupIV","transcript",989900,996481,"-","ENSGACG00000016398","ENSGACT00000021695",TRUE,"IV",4
"51","groupIV","transcript",1012417,1020728,"+","ENSGACG00000016402","ENSGACT00000021699",TRUE,"IV",4
"52","groupIV","transcript",1032372,1034255,"+","ENSGACG00000016407","ENSGACT00000021703",TRUE,"IV",4
"53","groupIV","transcript",1041545,1043491,"+","ENSGACG00000016409","ENSGACT00000021706",TRUE,"IV",4
"54","groupIV","transcript",1088609,1120855,"+","ENSGACG00000016411","ENSGACT00000021714",TRUE,"IV",4
"55","groupIV","transcript",1125606,1128515,"-","ENSGACG00000016419","ENSGACT00000021716",TRUE,"IV",4
"56","groupIV","transcript",1125612,1128548,"-","ENSGACG00000016419","ENSGACT00000021718",TRUE,"IV",4
"57","groupIV","transcript",1157979,1159792,"+","ENSGACG00000016422","ENSGACT00000021719",TRUE,"IV",4
"58","groupIV","transcript",1158037,1161567,"+","ENSGACG00000016422","ENSGACT00000021720",TRUE,"IV",4
"59","groupIV","transcript",1163193,1164964,"-","ENSGACG00000016423","ENSGACT00000021722",TRUE,"IV",4
"60","groupIV","transcript",1169061,1172962,"+","ENSGACG00000016424","ENSGACT00000021724",TRUE,"IV",4
"61","groupIV","transcript",1302365,1304893,"+","ENSGACG00000016426","ENSGACT00000021725",TRUE,"IV",4
"62","groupIV","transcript",1319511,1320804,"-","ENSGACG00000016428","ENSGACT00000021729",TRUE,"IV",4
"63","groupIV","transcript",1324374,1329324,"-","ENSGACG00000016431","ENSGACT00000021735",TRUE,"IV",4
"64","groupIV","transcript",1324374,1329169,"-","ENSGACG00000016431","ENSGACT00000021737",TRUE,"IV",4
"65","groupIV","transcript",1324374,1328092,"-","ENSGACG00000016431","ENSGACT00000021740",TRUE,"IV",4
"66","groupIV","transcript",1343388,1353306,"-","ENSGACG00000016437","ENSGACT00000021747",TRUE,"IV",4
"67","groupIV","transcript",1356780,1365194,"+","ENSGACG00000016443","ENSGACT00000021753",TRUE,"IV",4
"68","groupIV","transcript",1368026,1374881,"+","ENSGACG00000016447","ENSGACT00000021756",TRUE,"IV",4
"69","groupIV","transcript",1368177,1369091,"-","ENSGACG00000016449","ENSGACT00000021758",TRUE,"IV",4
"70","groupIV","transcript",1377579,1383669,"+","ENSGACG00000016452","ENSGACT00000021764",TRUE,"IV",4
